post_id,date,title,body,user_id,tag,image_urls,summary,post_order
023c6a89-cf2e-490b-9fe7-01941e7d5800,2/11/2024,Apache and Nginx,"So I just learned that Apache and nginx are just software that allow your computer to act like a HTTP server allowing routing and serving of html css and JavaScript for browsers to render. 

This is cool as now hearing about those technologies makes more sense. 

My goal for next year is to buy my own hardware and create my own websevers using apahe or nginx,  running my services in docker containers for my algorithms and backend LLMs as well as front end applications that I have.  That would be such a cool thing to do!

I still think I’ll learn azure for data analyst, engineer and scientist first then once I have the hardware self hosting will be amazing for all of that! I’ll learn so much from doing that. ",fbc72f17-b191-48a6-86ab-54ed20be6cf1,backend-learning,[],,54
079e7ad4-4073-4e84-8e87-ce20f09bdf07,1/11/2024,Bioneer Ideas,"After watching the Bioneer's videos and reading some of his book I am excited to adopt a similar training style as a lot of what he says really resonates with me.  I will need to download and read through his book on the holidays, that just gave me a great idea of tracking books I'm reading and the progress of each through stormdrain adding a booklist page where I can track progress for books and put some on my reading list.",fbc72f17-b191-48a6-86ab-54ed20be6cf1,fitness,[],,51
0905b54d-d9a9-4a75-84af-936365b042dc,13/11/2024,Left hip tightness ,"I feel the problem just boils down to the left hip external rotator muscles of outside of the left hip is super duper tight and making them looser will make me internal rotation much better on that leg as there will be much less resistance so I’ll add these as daily habit stretches to stretch my external rotators. 
This seems to be a rule in stretching like when I go for internal rotation it is painful not a stretch usually meaning restriction in this case in the opposite side.",fbc72f17-b191-48a6-86ab-54ed20be6cf1,martial-arts,[],,95
092096a6-375f-4fa3-bdd5-7355d77b77ea,31/10/2024,Figured it out!!!!,The problem for my kicks are a lack of strength on my left outer glute I need to kick by using this part of my hip all the way through almost to side kick position and kicking from there this works well I could really feel the burn but the stability was not there yet I need to build up to it every day I need strength on left hip and stability and balance on right leg ,fbc72f17-b191-48a6-86ab-54ed20be6cf1,martial-arts,[],,46
0a1cb928-258f-438d-9b64-f7ebcceb2adc,16/11/2024,Reading Research Papers,"I want to make a new goal of reading, understanding and summarising one research paper per week in the deep learning space as this will greatly help me develop my knowledge and skills.
I have therefore created my reading list on here, it is super basic right not but I will update the UI in future to be a little cooler.  The idea is to each week read through one whole paper and after around 6 month I should have gotten through all the papers on the list. ",fbc72f17-b191-48a6-86ab-54ed20be6cf1,research,[],,104
0a5d20b4-bf19-45ae-9fdf-8e9aa681c88b,27/10/2024,Martial Arts Plan,I was thinking today I really want to focus my own style of fighting around blending the best of every other style together into something that is uniquely mine and that plays to my strengths and adapts to any matchup the best as possible.  ,fbc72f17-b191-48a6-86ab-54ed20be6cf1,martial-arts,[],,23
0fc2f41e-e25c-4169-82ab-4e9cfa5a1598,31/10/2024,Potential Left Kick Fix,I think the main issue with my leg kick is a weak outer left glute muscle I need to use my glutes in combination with my hip and abs in order to do the kick correctly need to practice this every day for 20 slow kicks each leg 2x10 on front side round and hook ,fbc72f17-b191-48a6-86ab-54ed20be6cf1,martial-arts,[],,48
1324951a-feb1-49c0-a070-c750ba47ad4d,5/11/2024,RNN's Extended,"Today I furthered my knowledge on RNNs and Seq-2-Seq models.  Usually these models are made of an Encoder and a Decoder.  Also not here that when I model is unidirectional or bidirectional this is not referring to whether it is encoder or decoder or both, but uni/bi directional refers to the masking in the self and cross attention.

Bidirectional means no masking meaning words can attend to words both before as well as after then, and unidirectional meaning that words can only attend to words in one direction usually only those before it.

Okay back to RNN's and Seq-2-Seq with encoders and decoders the main objective with an RNN based Seq-2-Seq model is to use the encoder RNN to encode the sequence into a context vector then use the decoder to decode it into the output sequence.  

This can be thought of as similar to how an autoencoder words with images encoding into a latent space and then back.  We are able to leverage the RNNs to allow for arbitrary length inputs and outputs that can be the same or different length.

With the RNNs we usually layer them and have multiple cells per layer to increase the total number of parameters in the network allowing for more complex relationships to be learnt.   When training we don't use the predicted previous value for predicting the next we actually use the real previous value to ensure each gets trained fairly and isn't affected by previously bad predictions which would make training time exponentially longer, because we would have to wait for all previous values to get predicted 100% correctly before the next can be properly learned. ",fbc72f17-b191-48a6-86ab-54ed20be6cf1,machine-learning,[],,66
133fefcd-c37c-4dbd-977c-e9566478b665,13/11/2024,Terminology Alert!!!,"Be aware in the nextjs documentation api routes is the terminology referring to how this was done in nextjs with the pages router. 
With the new app router these api routes are called route handlers in the documentation, the mix up can be annoying so ensure to always check that the docs refer to the app router.",fbc72f17-b191-48a6-86ab-54ed20be6cf1,frontend-learning,[],,96
13c48600-101a-4de3-bafa-07eb5216856a,1/11/2024,Double Follow Up,"Bottom leg of kick is most important it creates the foundational position for rest of movement.

Make sure to rotate it first and under and rotate relative to kicking angle. More horizontal kick more rotate base hip",fbc72f17-b191-48a6-86ab-54ed20be6cf1,martial-arts,[],,50
15730e2b-e1a9-4b94-a5d6-559c421a2eb9,31/10/2024,Final Followup ,When using hips and glutes make sure to rotate supporting leg hip under me and also around to make sure I have space to kick this is a super key point to remember,fbc72f17-b191-48a6-86ab-54ed20be6cf1,martial-arts,[],,47
17b55bbf-e444-4d4b-bcc7-1949ce1affdc,9/11/2024,Hip Mobility ,"I have realised over the last two days that I think the best way to resolving my hip issues is just to dynamically stretch the tight parts of my hip each day if it feels tight.
This has already started helping me to feel better I just need to try and do 100 internal rotations a day to slowly unlock that range of motion in my hips again ",fbc72f17-b191-48a6-86ab-54ed20be6cf1,fitness,[],,76
1b41ddcc-7083-4388-acf1-30094fe61fc8,30/10/2024,Goal Setting and Consistent Training,After struggling with my hip internal rotation today I realised that if I want to progress on things I need a real reasons and clear goals.  I need to do my hip exercises everyday and then it’ll help but I need to stay consistent ,fbc72f17-b191-48a6-86ab-54ed20be6cf1,thoughts,[],,43
213b59f4-b311-47c1-b4b3-25e728c54eb9,27/10/2024,Responsive Breakpoints,"So in trying to make me design more mobile friendly and responsive I have learned that breakpoints in tailwind and css like sm, md, lg etc do not just apply that style for screens of that size but for all screens that size and above, so for example I wanted to have the topnav disapear on screens size md or smaller I dont do md:hidden.  Instead I do hidden md:flex, so by default it is hidden and on screens of md or bigger it is a flex container.  ",fbc72f17-b191-48a6-86ab-54ed20be6cf1,frontend-learning,[],,29
2641131c-2571-482b-8f75-183c9bb74149,6/11/2024,Flex vs Inline Flex,"While trying to update the AI UI for Storm Drain I ran into a unique problem with the ai image shrinking inside my flex div.  
The solution was to use a inline-flex div as opposed to a regular flex div so items only take up as much space as they need then I was also able to add the flex-shrink-0 properly in order to ensure the width and height of my image didn't change and displayed correctly. ",fbc72f17-b191-48a6-86ab-54ed20be6cf1,frontend-learning,[],,69
29aa24c6-575d-4583-a049-b2a05641177d,4/11/2024,Topnav Dropdown,"In order to get the dropdown to not make space, I thought all I needed to do was increase its z-score, but it was also important to use the absolute positioner in order to make this work. 

By specifying absolute we take the component out of the document flow and therefore we are able to apply with z value effectively, without this z-values usually have little to no affect",fbc72f17-b191-48a6-86ab-54ed20be6cf1,project-progress,[],,57
